"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","业务系统","评标-评委名单","1","1","4","0","0"
"","业务系统","开标-主持人","0","0","3","0","0"
"","业务系统","评标办法-流程配置","1","0","4","0","0"
"","权限管理","角色管理","3","0","5","0","0"
"","权限管理","配置管理","1","0","3","0","0"
"","业务系统","开标-监督人","0","0","3","0","0"
"","权限管理","用户相关功能","1","0","4","0","0"
"","桌面端","评标评委端","5","0","13","0","0"
"","业务系统","评标办法-详细评审","2","0","2","0","0"
"","业务系统","开标管理","1","0","4","0","0"
"","权限管理","用户登录接口","0","0","4","0","0"
"","业务系统","评标-投标人","1","1","3","0","0"
"","业务系统","评标办法-初步评审配置","0","0","4","0","0"
"","权限管理","地理位置查询","4","0","0","0","0"
"","业务系统","开标-投标人","1","1","5","0","0"
"","业务系统","开标记录模板","1","0","4","0","0"
"","业务系统","评标-主持人","1","0","1","0","0"
"","业务系统","评标管理","1","0","2","0","0"
"","业务系统","评标-评估报告","0","0","3","0","0"
"","业务系统","评标-文件管理","3","0","7","0","0"
"","权限管理","菜单管理","0","0","5","0","0"
"","业务系统","评标-监督人","0","0","3","0","0"
"","权限管理","文件管理","2","0","0","0","0"
"","业务系统","评标-信息录入","2","0","2","0","0"
